"Periode";"Regio's";"Totale vaarweglengte (km)";"Vaarwegen naar economisch belang/Hoofdtransportas (km)";"Vaarwegen naar economisch belang/Hoofdvaarweg (km)";"Vaarwegen naar economisch belang/Overige vaarweg (km)";"Vaarwegen naar economisch belang/Economisch belang onbekend (km)"
"2018";"Nederland";6297;552;897;4353;495
"2018";"Noord-Nederland (LD)";1655;0;126;1461;68
"2018";"Oost-Nederland (LD)";1409;106;448;811;44
"2018";"West-Nederland (LD)";2653;426;135;1808;285
"2018";"Zuid-Nederland (LD)";783;57;282;344;100
"2018";"Groningen (PV)";533;0;53;460;20
"2018";"Friesland (PV)";965;0;72;851;42
"2018";"Drenthe (PV)";177;0;1;169;7
"2018";"Overijssel (PV)";354;0;124;216;14
"2018";"Flevoland (PV)";601;0;99;492;9
"2018";"Gelderland (PV)";501;106;250;125;21
"2018";"Utrecht (PV)";348;51;63;226;9
"2018";"Noord-Holland (PV)";851;40;18;733;60
"2018";"Zuid-Holland (PV)";975;183;66;557;169
"2018";"Zeeland (PV)";570;154;0;368;47
"2018";"Noord-Brabant (PV)";564;57;180;261;66
"2018";"Limburg (PV)";249;0;130;86;34
