"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Indexcijfers omzet (2015=100)";"Omzetontwikkeling t.o.v. een jaar eerder (%)"
"503-504 Binnenvaart";"2005 1e kwartaal";70,6;
"503-504 Binnenvaart";"2005 2e kwartaal";83,2;
"503-504 Binnenvaart";"2005 3e kwartaal";88,1;
"503-504 Binnenvaart";"2005 4e kwartaal";90,2;
"503-504 Binnenvaart";"2006 1e kwartaal";85;20,4
"503-504 Binnenvaart";"2006 2e kwartaal";92,8;11,6
"503-504 Binnenvaart";"2006 3e kwartaal";99;12,4
"503-504 Binnenvaart";"2006 4e kwartaal";94,5;4,8
"503-504 Binnenvaart";"2007 1e kwartaal";86,7;2
"503-504 Binnenvaart";"2007 2e kwartaal";101,4;9,3
"503-504 Binnenvaart";"2007 3e kwartaal";106,2;7,3
"503-504 Binnenvaart";"2007 4e kwartaal";106,5;12,7
"503-504 Binnenvaart";"2008 1e kwartaal";101,2;16,6
"503-504 Binnenvaart";"2008 2e kwartaal";107,4;5,9
"503-504 Binnenvaart";"2008 3e kwartaal";110,8;4,3
"503-504 Binnenvaart";"2008 4e kwartaal";109;2,3
"503-504 Binnenvaart";"2009 1e kwartaal";81,1;-19,9
"503-504 Binnenvaart";"2009 2e kwartaal";86,4;-19,5
"503-504 Binnenvaart";"2009 3e kwartaal";91,8;-17,1
"503-504 Binnenvaart";"2009 4e kwartaal";93,6;-14,1
"503-504 Binnenvaart";"2010 1e kwartaal";78,4;-3,3
"503-504 Binnenvaart";"2010 2e kwartaal";89,1;3,1
"503-504 Binnenvaart";"2010 3e kwartaal";97,3;6
"503-504 Binnenvaart";"2010 4e kwartaal";95,9;2,5
"503-504 Binnenvaart";"2011 1e kwartaal";88,3;12,7
"503-504 Binnenvaart";"2011 2e kwartaal";107,8;21
"503-504 Binnenvaart";"2011 3e kwartaal";102,1;4,9
"503-504 Binnenvaart";"2011 4e kwartaal";104,8;9,2
"503-504 Binnenvaart";"2012 1e kwartaal";87,7;-0,7
"503-504 Binnenvaart";"2012 2e kwartaal";96,8;-10,2
"503-504 Binnenvaart";"2012 3e kwartaal";96,3;-5,7
"503-504 Binnenvaart";"2012 4e kwartaal";94,6;-9,7
"503-504 Binnenvaart";"2013 1e kwartaal";83,6;-4,7
"503-504 Binnenvaart";"2013 2e kwartaal";94,6;-2,2
"503-504 Binnenvaart";"2013 3e kwartaal";96,9;0,7
"503-504 Binnenvaart";"2013 4e kwartaal";105,4;11,4
"503-504 Binnenvaart";"2014 1e kwartaal";87,4;4,6
"503-504 Binnenvaart";"2014 2e kwartaal";97,3;2,8
"503-504 Binnenvaart";"2014 3e kwartaal";96,1;-0,9
"503-504 Binnenvaart";"2014 4e kwartaal";104,1;-1,2
"503-504 Binnenvaart";"2015 1e kwartaal";85,2;-2,6
"503-504 Binnenvaart";"2015 2e kwartaal";97,2;-0,1
"503-504 Binnenvaart";"2015 3e kwartaal";105,4;9,7
"503-504 Binnenvaart";"2015 4e kwartaal";112,3;7,8
"503-504 Binnenvaart";"2016 1e kwartaal";86;1
"503-504 Binnenvaart";"2016 2e kwartaal";92,3;-5,1
"503-504 Binnenvaart";"2016 3e kwartaal";91,3;-13,4
"503-504 Binnenvaart";"2016 4e kwartaal";100,2;-10,8
"503-504 Binnenvaart";"2017 1e kwartaal";90,7;5,5
"503-504 Binnenvaart";"2017 2e kwartaal";96,6;4,7
"503-504 Binnenvaart";"2017 3e kwartaal";97,9;7,2
"503-504 Binnenvaart";"2017 4e kwartaal";96,3;-3,9
"503-504 Binnenvaart";"2018 1e kwartaal";89,2;-1,7
"503-504 Binnenvaart";"2018 2e kwartaal";101,5;5,1
"503-504 Binnenvaart";"2018 3e kwartaal";116,2;18,7
"503-504 Binnenvaart";"2018 4e kwartaal ";126,9;31,8
"503-504 Binnenvaart";"2019 1e kwartaal";98,8;10,8
"503-504 Binnenvaart";"2019 2e kwartaal";105,9;4,3
"503-504 Binnenvaart";"2019 3e kwartaal";104,2;-10,3
"503-504 Binnenvaart";"2019 4e kwartaal";102,6;-19,1
"503-504 Binnenvaart";"2020 1e kwartaal";91,4;-7,6
"503-504 Binnenvaart";"2020 2e kwartaal";88,3;-16,6
"503-504 Binnenvaart";"2020 3e kwartaal";92,4;-11,3
"503-504 Binnenvaart";"2020 4e kwartaal";95,2;-7,2
"503-504 Binnenvaart";"2021 1e kwartaal";86;-5,9
"503-504 Binnenvaart";"2021 2e kwartaal";96,1;8,8
"503-504 Binnenvaart";"2021 3e kwartaal";99,9;8,2
"503-504 Binnenvaart";"2021 4e kwartaal";129,5;36
"503-504 Binnenvaart";"2022 1e kwartaal";115,3;34,1
"503-504 Binnenvaart";"2022 2e kwartaal";142,2;48,1
"503-504 Binnenvaart";"2022 3e kwartaal";174,5;74,6
"503-504 Binnenvaart";"2022 4e kwartaal";156,1;20,6
"503-504 Binnenvaart";"2023 1e kwartaal*";131,7;14,3
