"Coropnaam","statcode","Bruto gewicht gelost"
"Oost-Groningen","CR01","6"
"Delfzijlenomgeving","CR02","11"
"OverigGroningen","CR03","18"
"Noord-Friesland","CR04","16"
"Zuidwest-Friesland","CR05","8"
"Zuidoost-Friesland","CR06","11"
"Noord-Drenthe","CR07","10"
"Zuidoost-Drenthe","CR08","9"
"Zuidwest-Drenthe","CR09","8"
"Noord-Overijssel","CR10","24"
"Zuidwest-Overijssel","CR11","7"
"Twente","CR12","21"
"Veluwe","CR13","30"
"Achterhoek","CR14","18"
"Arnhem/Nijmegen","CR15","27"
"Zuidwest-Gelderland","CR16","21"
"Utrecht","CR17","38"
"KopvanNoord-Holland","CR18","14"
"Alkmaarenomgeving","CR19","6"
"IJmond","CR20","7"
"AgglomeratieHaarlem","CR21","2"
"Zaanstreek","CR22","8"
"Groot-Amsterdam","CR23","119"
"HetGooienVechtstreek","CR24","5"
"AgglomeratieLeidenenBollenstreek","CR25","12"
"Agglomeratie's-Gravenhage","CR26","10"
"DelftenWestland","CR27","13"
"Oost-Zuid-Holland","CR28","14"
"Groot-Rijnmond","CR29","406"
"Zuidoost-Zuid-Holland","CR30","22"
"Zeeuwsch-Vlaanderen","CR31","14"
"OverigZeeland","CR32","40"
"West-Noord-Brabant","CR33","50"
"Midden-Noord-Brabant","CR34","22"
"Noordoost-Noord-Brabant","CR35","38"
"Zuidoost-Noord-Brabant","CR36","33"
"Noord-Limburg","CR37","29"
"Midden-Limburg","CR38","16"
"Zuid-Limburg","CR39","23"
"Flevoland","CR40","20"
