Variable,Parameter
const,17.340013312684338
A.0_ID flood wave shape,-0.7952292857561009
A.1_Bmax,-0.07377448873780948
A.1_Brate,7.353252123412173
A.1_pfail,-679.5640642277294
A.2_Bmax,0.34284834731828584
A.2_Brate,-4.777284147061584
A.2_pfail,-1689.955234623822
A.3_Bmax,0.05706151371316087
A.3_Brate,0.03267481935267824
A.3_pfail,-1369.2853920368918
A.4_Bmax,0.36362568382464566
A.4_Brate,-15.047643353943046
A.4_pfail,-63.59451009869227
A.5_Bmax,-0.5428213138173213
A.5_Brate,0.5485406373194981
A.5_pfail,-1467.800922678629
discount rate 0,-20.84361716431842
discount rate 1,93.19808529770005
discount rate 2,53.10897467410737
discount rate 3,7.698168515759091
0_RfR 0,-0.6528730940597303
0_RfR 1,28.03461177631508
0_RfR 2,5.784566820629143
0_RfR 3,33.05777410270825
1_RfR 0,-10.230817290417642
1_RfR 1,-14.217461779192737
1_RfR 2,-8.088038217527151
1_RfR 3,-25.370047667252027
2_RfR 0,-16.3602408520835
2_RfR 1,26.031364483274977
2_RfR 2,-0.5612745836541686
2_RfR 3,22.547668276709075
3_RfR 0,13.901424369213329
3_RfR 1,5.784566820628646
3_RfR 2,13.901424369213556
3_RfR 3,-11.768424800113603
4_RfR 0,-27.80043050382806
4_RfR 1,-5.207654964024101
4_RfR 2,5.568148978011788
4_RfR 3,21.099800667287553
A.1_DikeIncrease 0,200.85417441721478
A.1_DikeIncrease 1,-147.48278319113933
A.1_DikeIncrease 2,-36.15054216548777
A.1_DikeIncrease 3,85.9184200690939
A.2_DikeIncrease 0,-76.2884979782291
A.2_DikeIncrease 1,-64.66698384504537
A.2_DikeIncrease 2,-76.34695173171379
A.2_DikeIncrease 3,74.70539701908167
A.3_DikeIncrease 0,213.72986435421643
A.3_DikeIncrease 1,138.2404684194377
A.3_DikeIncrease 2,128.91173523759682
A.3_DikeIncrease 3,138.49678172819077
A.4_DikeIncrease 0,-39.72652485564181
A.4_DikeIncrease 1,94.0980145333817
A.4_DikeIncrease 2,-101.80873247289264
A.4_DikeIncrease 3,-75.53938769244007
A.5_DikeIncrease 0,-49.69513771162133
A.5_DikeIncrease 1,6.389447135471091
A.5_DikeIncrease 2,99.19630484869177
A.5_DikeIncrease 3,121.84948434076006
EWS_DaysToThreat,84.40145864996514
