Variable,Parameter
const,4614269.533966761
A.0_ID flood wave shape,2.735760062932968e-09
A.1_Bmax,-1.363514456897974e-08
A.1_Brate,5.6606950238347054e-08
A.1_pfail,1.4137476682662964e-06
A.2_Bmax,-2.3865140974521637e-09
A.2_Brate,1.2852251529693604e-07
A.2_pfail,-1.1175870895385742e-08
A.3_Bmax,3.055902197957039e-10
A.3_Brate,8.614733815193176e-09
A.3_pfail,-3.3061951398849487e-07
A.4_Bmax,6.592017598450184e-09
A.4_Brate,3.4924596548080444e-09
A.4_pfail,-2.2258609533309937e-07
A.5_Bmax,-6.140180630609393e-08
A.5_Brate,-2.1827872842550278e-08
A.5_pfail,-1.0058283805847168e-07
discount rate 0,1.487787812948227e-07
discount rate 1,-2.7939677238464355e-07
discount rate 2,1.6880221664905548e-07
discount rate 3,9.476207196712494e-08
0_RfR 0,-6148173.761881696
0_RfR 1,-2218888.1185936313
0_RfR 2,4188301.440053857
0_RfR 3,2479333.1340836855
1_RfR 0,9203376.92618353
1_RfR 1,14236091.152777078
1_RfR 2,9529717.34570294
1_RfR 3,14244243.707173895
2_RfR 0,13909750.733257677
2_RfR 1,-750693.9278430017
2_RfR 2,5411822.891158127
2_RfR 3,-9287328.644894082
3_RfR 0,11444165.28552469
3_RfR 1,4188301.4400538504
3_RfR 2,11444165.285524698
3_RfR 3,5880107.22710994
4_RfR 0,7822396.355145935
4_RfR 1,13901598.178860854
4_RfR 2,705449.0840839874
4_RfR 3,6111081.472519513
A.1_DikeIncrease 0,-10539664.743932905
A.1_DikeIncrease 1,51728991.25605617
A.1_DikeIncrease 2,-17420694.873951048
A.1_DikeIncrease 3,74958770.42287329
A.2_DikeIncrease 0,47787798.20741184
A.2_DikeIncrease 1,17956509.547847778
A.2_DikeIncrease 2,-4230612.08834229
A.2_DikeIncrease 3,21664891.977037154
A.3_DikeIncrease 0,-5152550.731104225
A.3_DikeIncrease 1,-51922674.92333734
A.3_DikeIncrease 2,44307044.895489946
A.3_DikeIncrease 3,25806000.91714768
A.4_DikeIncrease 0,27712417.522478946
A.4_DikeIncrease 1,6359261.155830635
A.4_DikeIncrease 2,-25933656.281686723
A.4_DikeIncrease 3,22205611.252545252
A.5_DikeIncrease 0,18157115.503498793
A.5_DikeIncrease 1,10267071.899338271
A.5_DikeIncrease 2,21718381.172409154
A.5_DikeIncrease 3,-4143662.794356402
EWS_DaysToThreat,-9536803.44202751
