Variable,Parameter
const,2231488.297629467
A.0_ID flood wave shape,-5.660695023834705e-09
A.1_Bmax,-1.1954398360103369e-08
A.1_Brate,2.5451299734413624e-08
A.1_pfail,2.9616057872772217e-07
A.2_Bmax,-5.187757778912783e-09
A.2_Brate,2.5960616767406464e-08
A.2_pfail,-1.862645149230957e-07
A.3_Bmax,-1.2078089639544487e-09
A.3_Brate,2.2118911147117615e-09
A.3_pfail,-4.7497451305389404e-08
A.4_Bmax,8.66566551849246e-09
A.4_Brate,-2.3283064365386963e-08
A.4_pfail,1.0151416063308716e-07
A.5_Bmax,-5.780748324468732e-09
A.5_Brate,-2.561137080192566e-09
A.5_pfail,-3.4458935260772705e-08
discount rate 0,-2.3050233721733093e-08
discount rate 1,-1.126900315284729e-07
discount rate 2,7.636845111846924e-08
discount rate 3,4.7264620661735535e-08
0_RfR 0,210543.120580622
0_RfR 1,799865.1928679012
0_RfR 2,1469424.124598995
0_RfR 3,1392460.7591541074
1_RfR 0,820776.070610052
1_RfR 1,1023608.7350312816
1_RfR 2,1266482.1258922096
1_RfR 3,188139.77788414498
2_RfR 0,577902.6797491258
2_RfR 1,838666.5854051006
2_RfR 2,1178859.2748380378
2_RfR 3,818116.6607332104
3_RfR 0,952311.4351165779
3_RfR 1,1469424.1245989944
3_RfR 2,952311.435116577
3_RfR 3,1005119.3968782361
4_RfR 0,1853881.914004062
4_RfR 1,1413371.6368962629
4_RfR 2,1421732.6656989665
4_RfR 3,1214387.1733763036
A.1_DikeIncrease 0,9654407.456552451
A.1_DikeIncrease 1,16847609.890944477
A.1_DikeIncrease 2,10863038.912749313
A.1_DikeIncrease 3,11118639.074405147
A.2_DikeIncrease 0,13716614.109268885
A.2_DikeIncrease 1,5923662.555922482
A.2_DikeIncrease 2,13697683.403400857
A.2_DikeIncrease 3,14401064.745829798
A.3_DikeIncrease 0,13789208.330806337
A.3_DikeIncrease 1,8717399.692487085
A.3_DikeIncrease 2,6762798.370768167
A.3_DikeIncrease 3,12109357.103367314
A.4_DikeIncrease 0,5916811.562561139
A.4_DikeIncrease 1,9567795.080352494
A.4_DikeIncrease 2,6982347.814221792
A.4_DikeIncrease 3,7461921.563646524
A.5_DikeIncrease 0,6043939.748837335
A.5_DikeIncrease 1,6897385.735614532
A.5_DikeIncrease 2,10026281.860130697
A.5_DikeIncrease 3,7672413.43604381
EWS_DaysToThreat,3887271.171067994
