Variable,Parameter
const,0.009532788356554004
A.0_ID flood wave shape,-0.0007488043285105594
A.1_Bmax,-0.0005008704357770361
A.1_Brate,0.01113658664129098
A.1_pfail,-1.3333600441202293
A.2_Bmax,3.2427085865574463e-05
A.2_Brate,-0.006841242764820502
A.2_pfail,-1.0519988334111081
A.3_Bmax,0.00013440432448571612
A.3_Brate,0.006541464324226344
A.3_pfail,-1.7828256216266778
A.4_Bmax,0.0005352669404000894
A.4_Brate,-0.017150436455114007
A.4_pfail,0.29381863573143924
A.5_Bmax,6.15881324437125e-05
A.5_Brate,-0.01526495897798128
A.5_pfail,-0.3647098666352521
discount rate 0,-0.016424592748474003
discount rate 1,0.0970132503025633
discount rate 2,0.01279347817716631
discount rate 3,0.04105508545172086
0_RfR 0,-0.014225490259758614
0_RfR 1,-0.005135244333621125
0_RfR 2,-0.013702878146627191
0_RfR 3,0.02713070754204516
1_RfR 0,-0.025723094099642355
1_RfR 1,0.006194027220172776
1_RfR 2,0.008799791671843542
1_RfR 3,-0.028677689107164884
2_RfR 0,-0.02832885855131379
2_RfR 1,0.007449217475406307
2_RfR 2,0.028618179352072767
2_RfR 3,0.0029899305805308448
3_RfR 0,-0.006521191930968831
3_RfR 1,-0.013702878146627632
3_RfR 2,-0.006521191930968745
3_RfR 3,0.0020875096095564097
4_RfR 0,0.015147620588139203
4_RfR 1,0.0065428577760234564
4_RfR 2,0.03122394380374442
4_RfR 3,0.018026935211572354
A.1_DikeIncrease 0,0.09326938850536594
A.1_DikeIncrease 1,0.00849569055857081
A.1_DikeIncrease 2,0.04121409279817023
A.1_DikeIncrease 3,0.07069350451913614
A.2_DikeIncrease 0,0.010201973156979674
A.2_DikeIncrease 1,-0.0785178452902138
A.2_DikeIncrease 2,0.15183066403727585
A.2_DikeIncrease 3,0.17499345879122538
A.3_DikeIncrease 0,0.028835189287503532
A.3_DikeIncrease 1,0.0116741009070034
A.3_DikeIncrease 2,-0.0037849871213858407
A.3_DikeIncrease 3,0.1867822384747084
A.4_DikeIncrease 0,-0.08517873706339037
A.4_DikeIncrease 1,0.019972742824278675
A.4_DikeIncrease 2,-0.016994435082331345
A.4_DikeIncrease 3,0.019525149435648533
A.5_DikeIncrease 0,0.008061768436437095
A.5_DikeIncrease 1,-0.08692960901316153
A.5_DikeIncrease 2,-0.056887868967385555
A.5_DikeIncrease 3,0.036464789618554753
EWS_DaysToThreat,-0.020983436233341087
